system:index,EVI,FAPAR,FAPAR_3b,LAI,LAI_3b,NDMI,NDVI,NDVIrededge,.geo
20210306T100029_20210306T100025_T33UVR_0,0.200316639271216,0.2143945750360823,0.3206803553562365,0.1131697516968957,0.4273568569483144,-0.11021834452724648,0.4523423816611047,0.2829947905411724,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210326T100029_20210326T100557_T33UVR_0,0.19502513573388175,0.1354465007978442,0.25745223769526565,0.15107775581004107,0.36262069507633327,-0.21177003552368875,0.3854204804451156,0.23053345742583348,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210510T100031_20210510T100406_T33UVR_0,0.39901290082967333,0.403923007483682,0.5043952553426571,0.9855504927848188,1.3356890363396696,0.05162004871857225,0.6566174669738113,0.34161729178020234,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210604T100029_20210604T100027_T33UVR_0,0.8369108738332272,0.8623469105961237,0.9123368378763489,3.437577672850023,5.03923539353788,0.4226938389851783,0.9222993302725908,0.6484981089143899,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210607T100559_20210607T101225_T33UVR_0,0.8285641213776875,0.8400139855512773,0.8826091433226858,3.3872415995840437,4.445639102781242,0.42979402378981396,0.8692026965251918,0.6711029743101083,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210614T100029_20210614T100222_T33UVR_0,0.8154881356321745,0.8749558112263592,0.9171871329841105,3.7964799901553463,5.10955144586954,0.4350565497561396,0.9294506996755432,0.7120438254790583,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210617T100559_20210617T101301_T33UVR_0,0.757177736042934,0.855783049171681,0.8977986436064509,3.685657085117514,4.834252540804579,0.43595756385113316,0.9215158943606309,0.7376528888734343,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210619T100031_20210619T100523_T33UVR_0,0.7881927717606055,0.8640973770125667,0.9059219658533654,3.540062470946798,4.867064348344436,0.40326902101420004,0.9166856198412282,0.6980682898214718,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210724T100029_20210724T100028_T33UVR_0,0.7006559558232648,0.8006981910354015,0.8488319003229198,3.081321860126601,3.841859688880109,0.38956113645714874,0.8676359622692561,0.6801118850719094,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210727T100559_20210727T100556_T33UVR_0,0.7056713379022279,0.8416635014842798,0.8793852551769792,3.466020473394285,4.386106290922819,0.41350321403837254,0.9095566444639922,0.7313706906030755,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210808T100031_20210808T100409_T33UVR_0,0.6568301999185512,0.7729145582328194,0.8154778563243885,2.785699457481839,3.3367776771525555,0.4017174610980055,0.8498277766668534,0.6526616536050042,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210813T100029_20210813T100215_T33UVR_0,0.7142420880380493,0.8425858643773068,0.8748180900823587,3.3522144057583434,4.106825887242023,0.3764419183844235,0.9014219685006924,0.6945623257922922,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210821T101031_20210821T101418_T33UVR_0,0.6586336849117681,0.8335538020759297,0.8690573162096927,3.2345817817909337,3.988866082875771,0.4220443558172825,0.8998698795389855,0.7011505438318131,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210905T100549_20210905T101615_T33UVR_0,0.6292206027810678,0.800537865585201,0.8433491479593794,2.739150526804897,3.413292243793002,0.38688768854886735,0.8767332642435983,0.6830598820524038,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210910T101031_20210910T101503_T33UVR_0,0.5907904146067503,0.8037464787977496,0.8420503293677936,2.688019917284963,3.307855041402131,0.3665569739463254,0.879910274736562,0.6580873749366796,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210925T101019_20210925T101413_T33UVR_0,0.3395596072087234,0.5858912247874326,0.5151554050571652,1.3503540779888632,1.0273790049986775,0.23327197248212442,0.6539489244181773,0.4756192295499809,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20210930T101031_20210930T101420_T33UVR_0,0.6603891609832951,0.833588264533811,0.8712552511155361,2.6771593325749734,3.4704632281779433,0.3876736912018412,0.8502330606499128,0.6352470586347111,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20211010T100941_20211010T101120_T33UVR_0,0.5070136527637091,0.744671828577522,0.8113892046779183,1.8631647139409353,2.4532003799706352,0.3481801479005721,0.823529504990271,0.5567820012459588,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20211022T100029_20211022T100028_T33UVR_0,0.30838837209625186,0.5013494255230689,0.5197752356323909,0.746770575360219,0.7928667944078269,0.14103952921969268,0.5815968738908677,0.31336697204305397,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20211030T101141_20211030T101420_T33UVR_0,0.2827481647517289,0.5273087386428842,0.5104186994406051,0.6544349377000986,0.7956283253108211,0.08039379172288885,0.5489373143053569,0.3472250108945133,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
20211106T100221_20211106T100409_T33UVR_0,0.2308506001762493,0.4136316640536795,0.42540130603177556,0.30409766571065555,0.5298844383128076,-0.001062970158026897,0.5200586218531205,0.2890155294759006,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.172681013304471,49.957582297371864],[14.173236838545574,49.957582297371864],[14.173236838545574,49.95794218284637],[14.172681013304471,49.95794218284637],[14.172681013304471,49.957582297371864]]]}"
